Repository                                          Stars  Created at  Description                                            
michenriksen/gitrob                                 4334   2015        Reconnaissance tool for GitHub organizations           
smallnest/rpcx                                      4328   2016        A zero cost, faster multi-language  bidirectional ...  
Shopify/toxiproxy                                   4315   2014        :alarm_clock: :fire: A TCP proxy to simulate netwo...  
miekg/dns                                           4311   2010        DNS library in Go                                      
chromedp/chromedp                                   4309   2017        A faster, simpler way to drive browsers supporting...  
Jguer/yay                                           4308   2016        Yet another Yogurt - An AUR Helper written in Go       
gliderlabs/registrator                              4283   2014        Service registry bridge for Docker with pluggable ...  
qor/qor                                             4272   2014        QOR is a set of libraries written in Go that abstr...  
lxn/walk                                            4246   2010        A Windows GUI toolkit for the Go Programming Langu...  
russross/blackfriday                                4235   2011        Blackfriday: a markdown processor for Go               
pachyderm/pachyderm                                 4228   2014        Reproducible Data Science at Scale!                    
coyove/goflyway                                     4187   2017        An encrypted HTTP server                               
muesli/beehive                                      4184   2014        A flexible event/agent & automation system with lo...  
jpillora/cloud-torrent                              4164   2015        ☁️ Cloud Torrent: a self-hosted remote torren...       
google/git-appraise                                 4162   2015        Distributed code review system for Git repos           
appleboy/gorush                                     4159   2016        A push notification server written in Go (Golang).     
fsnotify/fsnotify                                   4153   2014        Cross-platform file system notifications for Go.       
dexidp/dex                                          4148   2015        OpenID Connect Identity (OIDC) and OAuth 2.0 Provi...  
alibaba/pouch                                       4135   2017        An Efficient Enterprise-class Container Engine         
uber/prototool                                      4088   2018        Your Swiss Army Knife for Protocol Buffers             
prometheus/node_exporter                            4069   2013        Exporter for machine metrics                           
weaveworks/scope                                    4063   2015        Monitoring, visualisation & management for Docker ...  
centrifugal/centrifugo                              4057   2015        Scalable real-time messaging in language-agnostic ...  
MontFerret/ferret                                   4054   2018        Declarative web scraping                               
eranyanay/1m-go-websockets                          4026   2019        handling 1M websockets connections in Go               
asaskevich/govalidator                              4018   2014        [Go] Package of validators and sanitizers for stri...  
mongodb/mongo-go-driver                             4003   2017        The Go driver for MongoDB                              
containers/libpod                                   3997   2017        libpod is a library used to create container pods....  
gaia-pipeline/gaia                                  3981   2017        Build powerful pipelines in any programming langua...  
golang/mobile                                       3981   2014        [mirror] Go on Mobile                                  
spiral/roadrunner                                   3971   2017        High-performance PHP application server, load-bala...  
99designs/gqlgen                                    3966   2018        go generate based graphql server library               
tidwall/evio                                        3950   2017        Fast event-loop networking for Go                      
rivo/tview                                          3947   2017        Rich interactive widgets for terminal-based UIs wr...  
gliderlabs/logspout                                 3935   2014        Log routing for Docker container logs                  
adonovan/gopl.io                                    3928   2015        Example programs from "The Go Programming Language...  
docker/docker-ce                                    3923   2017        Docker CE                                              
mmcgrana/gobyexample                                3901   2012        Go by Example                                          
Terry-Mao/goim                                      3892   2015        goim                                                   
fluxcd/flux                                         3886   2016        The GitOps Kubernetes operator                         
tealeg/xlsx                                         3879   2011        Google Go (golang) library for reading and writing...  
coreos/prometheus-operator                          3878   2016        Prometheus Operator creates/configures/manages Pro...  
RichardKnop/machinery                               3843   2015        Machinery is an asynchronous task queue/job queue ...  
go-acme/lego                                        3840   2015        Let's Encrypt client and ACME library written in G...  
dropbox/godropbox                                   3831   2014        Common libraries for writing Go services/applicati...  
microsoft/ethr                                      3802   2018        Ethr is a Network Performance Measurement Tool for...  
twitchtv/twirp                                      3802   2018        A simple RPC framework with protobuf service defin...  
hashicorp/consul-template                           3792   2014        Template rendering, notifier, and supervisor for @...  
HFO4/gameboy.live                                   3792   2019        🕹️ A basic gameboy emulator with terminal "Cl...       
terraform-providers/terraform-provider-aws          3761   2017        Terraform AWS provider                                 
btcsuite/btcd                                       3760   2013        An alternative full node bitcoin implementation wr...  
Azure/draft                                         3757   2017        A tool for developers to create cloud-native appli...  
go-yaml/yaml                                        3752   2014        YAML support for the Go language.                      
lucas-clemente/quic-go                              3749   2016        A QUIC implementation in pure go                       
shazow/ssh-chat                                     3743   2014        Chat over SSH.                                         
schollz/find3                                       3737   2018        High-precision indoor positioning framework, versi...  
goadesign/goa                                       3731   2014        Design-based APIs and microservices in Go              
uber-archive/go-torch                               3729   2015        Stochastic flame graph profiler for Go programs        
golang/mock                                         3727   2015        GoMock is a mocking framework for the Go programmi...  
